10000;20000;30000;40000;50000;60000;70000;80000;90000;100000;;;;;10000;20000;30000;40000;50000;60000;70000;80000;90000;100000
279300;41300;62700;77800;105500;114600;134200;159700;180800;201600;;;;;26205;43469;64794;82471;100914;122701;141927;162460;184639;204497
29600;44500;63500;83400;99900;114400;213800;155900;172000;188400;;;;;;;;;;;;;;
24000;50600;61600;78300;94600;112200;146400;152000;169800;195400;;;;;;;;;;;;;;
23400;41800;58600;79100;103900;110900;135900;161900;163800;205600;;;;;;;;;;;;;;
21000;38400;60100;78200;95200;119600;132300;161100;178000;187600;;;;;;;;;;;;;;
22600;38800;63000;81800;106900;114900;130500;150700;175700;188500;;;;;;;;;;;;;;
21300;44000;57100;73000;105600;112900;140400;161600;178500;195600;;;;;;;;;;;;;;
21800;42600;55400;74800;97800;118900;238600;155100;172500;188400;;;;;;;;;;;;;;
21600;40300;54000;82900;98500;181800;139700;157800;172300;186800;;;;;;;;;;;;;;
21000;40300;57500;74800;100800;118200;130900;175900;177600;191900;;;;;;;;;;;;;;
22300;45700;62200;92900;95000;114500;136200;153300;192300;203600;;;;;;;;;;;;;;
26600;40100;58300;83800;98100;113300;136200;160400;201900;191500;;;;;;;;;;;;;;
22800;38400;57700;80900;101200;113400;134200;152900;177700;196300;;;;;;;;;;;;;;
21000;36800;58100;84300;96600;120600;132400;173300;169700;204100;;;;;;;;;;;;;;
21400;45900;57300;78300;95900;113700;132500;147500;176300;191500;;;;;;;;;;;;;;
18200;40100;63300;75700;101900;116700;131300;147100;172900;197200;;;;;;;;;;;;;;
20500;40500;62800;71900;94100;126100;128100;150200;166800;199400;;;;;;;;;;;;;;
21800;41600;63500;78300;94100;119300;152000;152500;176700;192100;;;;;;;;;;;;;;
25500;39500;59200;73300;96900;115000;146100;151200;180100;187500;;;;;;;;;;;;;;
23300;38900;55700;83600;92000;121100;138800;164900;174800;301000;;;;;;;;;;;;;;
32400;63300;61000;72800;97900;122300;132100;154900;178600;199300;;;;;;;;;;;;;;
29000;40500;64100;128400;89700;176100;186800;165000;175000;203700;;;;;;;;;;;;;;
22700;44300;61200;78100;93300;128800;136200;170900;181200;196800;;;;;;;;;;;;;;
21100;39000;61200;82100;123000;117900;137200;152900;188500;206800;;;;;;;;;;;;;;
24700;39700;55100;127700;101100;115300;137300;145900;165100;285000;;;;;;;;;;;;;;
37300;37100;84700;75500;102300;113700;142800;162200;177800;196600;;;;;;;;;;;;;;
22800;36100;60400;90300;104300;116800;131500;186100;171300;187200;;;;;;;;;;;;;;
31500;38100;61100;77200;117600;116000;177600;162000;169200;188600;;;;;;;;;;;;;;
22900;41200;65000;81500;99100;116500;145300;173400;173600;213400;;;;;;;;;;;;;;
24500;40900;60800;81900;103000;120700;138100;159100;184900;195900;;;;;;;;;;;;;;
24500;40300;58000;73600;126000;112900;137700;186400;172100;192900;;;;;;;;;;;;;;
21600;40700;62000;88300;94300;118100;134700;157100;165700;188400;;;;;;;;;;;;;;
19700;39800;61400;73100;96000;119000;133400;153400;215600;215300;;;;;;;;;;;;;;
30300;41300;60900;73600;99700;110900;141700;152700;176100;198800;;;;;;;;;;;;;;
21400;42200;62300;83200;101200;117500;136800;150100;173300;197700;;;;;;;;;;;;;;
22000;56300;81500;121800;141100;116000;138000;155000;179900;189100;;;;;;;;;;;;;;
23000;44700;59000;77900;96300;114400;135200;158900;171100;199600;;;;;;;;;;;;;;
19200;37600;57300;70200;103200;113200;129500;160500;201500;198100;;;;;;;;;;;;;;
20700;37200;57600;77700;91600;106300;137500;152800;174700;198800;;;;;;;;;;;;;;
37300;39900;54500;80500;104000;118400;138500;151200;179200;195600;;;;;;;;;;;;;;
22200;44500;56100;80200;98800;124200;143800;155600;179400;231400;;;;;;;;;;;;;;
21900;46800;60600;105600;96800;119800;145200;146300;177200;196000;;;;;;;;;;;;;;
22300;38800;64500;76800;97800;118400;159300;151100;162700;182300;;;;;;;;;;;;;;
27700;59100;64500;87500;93900;113500;155100;165200;235900;224300;;;;;;;;;;;;;;
21200;104600;83100;102200;96500;120700;146400;172500;168500;204500;;;;;;;;;;;;;;
23300;41600;81000;79300;135700;135700;139500;158100;349000;189400;;;;;;;;;;;;;;
20600;41500;60800;77900;92800;128300;145700;150400;255100;193800;;;;;;;;;;;;;;
20300;39200;60100;69500;94000;113500;131900;192000;177800;194400;;;;;;;;;;;;;;
19600;39500;69300;78200;111500;125100;138300;148000;198900;194800;;;;;;;;;;;;;;
20600;40700;66600;82400;96800;125500;155200;154900;177800;195800;;;;;;;;;;;;;;
20900;41300;60500;99100;89100;119600;135200;164500;179400;185500;;;;;;;;;;;;;;
24300;39500;66800;81300;100900;118800;141000;161000;178500;254200;;;;;;;;;;;;;;
26400;40700;61800;82500;103700;176800;136600;150800;169400;190100;;;;;;;;;;;;;;
20300;77600;61900;78600;103400;114900;161100;163400;173500;199400;;;;;;;;;;;;;;
32900;41700;63300;78400;102700;123700;138300;164600;171200;192100;;;;;;;;;;;;;;
20200;37500;63300;78200;103200;114700;137000;148000;160200;185700;;;;;;;;;;;;;;
25600;41400;64700;84300;98700;116900;131300;156900;161400;198400;;;;;;;;;;;;;;
20700;41700;58400;80200;92600;125700;128900;155400;184800;188900;;;;;;;;;;;;;;
21000;36700;63200;80400;96100;117700;129800;153600;162500;201400;;;;;;;;;;;;;;
22900;43500;56800;76900;99800;115100;140100;162400;178700;193900;;;;;;;;;;;;;;
31500;46200;58500;77800;101500;120700;137700;154100;274500;191700;;;;;;;;;;;;;;
24000;41100;59700;85900;101300;114500;136700;155100;191900;204700;;;;;;;;;;;;;;
19100;38500;59100;110900;92500;116800;137400;153500;171000;195600;;;;;;;;;;;;;;
35200;87500;61100;83200;96800;123300;134800;160800;168500;212700;;;;;;;;;;;;;;
22300;43500;60200;75700;98800;143500;133500;248200;248000;190500;;;;;;;;;;;;;;
22600;39500;62700;75700;102700;122200;144300;232700;172600;182800;;;;;;;;;;;;;;
20800;45600;53700;77400;126600;119200;134100;158600;170200;212200;;;;;;;;;;;;;;
36000;46400;61400;78900;88700;164100;138700;156900;185300;186500;;;;;;;;;;;;;;
33300;43300;61100;83900;95700;112700;164300;159400;175400;219000;;;;;;;;;;;;;;
23000;45200;60600;75300;95300;124500;136700;156200;173600;211100;;;;;;;;;;;;;;
19800;43500;64500;77600;98600;108200;141000;164000;182700;198400;;;;;;;;;;;;;;
21500;39500;63100;121600;92000;112300;138500;156900;175700;179900;;;;;;;;;;;;;;
22300;34500;58800;100000;96200;106800;132100;156700;181400;195600;;;;;;;;;;;;;;
26300;43000;58800;79300;101000;128700;132900;151200;180500;187500;;;;;;;;;;;;;;
18600;42000;67200;80700;97200;118100;140300;159300;178500;188100;;;;;;;;;;;;;;
23200;38700;68400;77100;103000;122300;136200;140700;180000;190200;;;;;;;;;;;;;;
19800;47300;60000;86900;101400;117100;153500;164900;187900;190500;;;;;;;;;;;;;;
22500;46700;61800;79300;98500;107200;129400;149100;233000;189700;;;;;;;;;;;;;;
24800;39600;61300;80300;100400;110000;140800;154100;161800;193000;;;;;;;;;;;;;;
23900;51300;54600;74100;97600;113900;140100;154800;180000;219500;;;;;;;;;;;;;;
20700;55900;58100;80400;97000;156100;142900;173400;173300;208100;;;;;;;;;;;;;;
23000;58100;55200;77000;95400;110200;140300;147700;172700;193000;;;;;;;;;;;;;;
21700;40700;78200;80400;101700;119200;141000;149900;175800;208100;;;;;;;;;;;;;;
28800;40400;64800;81300;85600;114700;136100;159800;269300;196300;;;;;;;;;;;;;;
21000;38100;58600;77200;100900;114100;141400;149500;174000;194200;;;;;;;;;;;;;;
21900;44600;62100;80400;93900;122800;150100;164000;175100;198200;;;;;;;;;;;;;;
25400;36500;62000;80000;121000;123400;135000;146100;175500;199900;;;;;;;;;;;;;;
21600;51000;65400;82300;94100;175000;136300;160200;192200;191100;;;;;;;;;;;;;;
18000;39900;59500;83800;99800;117700;136700;151300;197300;195500;;;;;;;;;;;;;;
22600;43500;68600;79200;98900;119900;134200;154400;178900;199800;;;;;;;;;;;;;;
22200;39600;65300;82800;95300;126500;138900;145700;172700;179500;;;;;;;;;;;;;;
22600;37300;63700;78500;97600;119500;136700;158100;183200;215300;;;;;;;;;;;;;;
26100;34500;56700;75500;93500;123400;134700;187900;193900;267800;;;;;;;;;;;;;;
19800;45800;66000;99600;95000;222500;140600;150000;203700;198800;;;;;;;;;;;;;;
19400;40300;64300;76200;131700;131500;141600;263300;180700;197200;;;;;;;;;;;;;;
26600;38600;304600;74800;106500;117300;139900;151000;180400;194800;;;;;;;;;;;;;;
21900;35700;96600;79000;101800;114400;135200;266600;180500;182900;;;;;;;;;;;;;;
31900;41100;67000;85500;106800;122700;203600;224200;175800;180000;;;;;;;;;;;;;;
21300;38100;59800;80000;134600;145300;133600;160700;240600;676500;;;;;;;;;;;;;;
21000;36100;58300;69600;90500;116300;132800;164800;189300;195600;;;;;;;;;;;;;;
